epoch,background,rural,urban,water,urban_rural_total,quality_score
1,6.66529009183704,31.66128310901819,37.18829672625053,24.485130072894247,68.84957983526871,85
2,7.404739328801262,31.659588660993172,35.7300877400074,25.205584270198173,67.38967640100057,80
3,7.204280727391947,35.2307050094714,33.312167327749506,24.25284693538715,68.5428723372209,85
4,6.608399838593974,36.140213487024006,38.33473676246413,18.916649911917894,74.47495024948813,95
5,9.539877382093271,30.4327353172357,33.733455123427035,26.29393217724399,64.16619044066273,80
6,5.263343055757936,33.81191492650795,39.459381760278426,21.465360257455686,73.27129668678637,85
8,18.501306549320375,27.391599548427415,25.061653243018817,29.045440659233396,52.45325279144623,50
9,8.373091564059884,33.44279525953865,37.48338973904158,20.70072343735989,70.92618499858023,85
10,10.064336046084783,28.141512476274812,34.224083205833786,27.570068271806626,62.3655956821086,70
11,4.424516120520235,33.712038088506176,42.51383959762449,19.3496061933491,76.22587768613067,100
12,6.28677652761276,33.18573829946423,38.05908757724698,22.468397595676038,71.2448258767112,85
13,6.93225614309653,35.164496751563625,38.557677814003846,19.34556929133601,73.72217456556747,95
14,8.917760278892425,30.32502329902521,36.04843015593242,24.708786266149943,66.37345345495763,85
15,11.144017603111175,32.87247557893203,33.250841006658,22.732665811298798,66.12331658559003,75
16,5.566209950896327,35.862666987050154,40.21834196056948,18.35278110148404,76.08100894761964,95
17,5.295715623925828,32.36268899590134,39.127024755929426,23.214570624243407,71.48971375183076,85
18,10.088369186160556,31.85776902522156,33.57924940710373,24.474612381514152,65.43701843232529,75
19,8.14941420844729,32.72870217482477,39.69075637591165,19.431127240816295,72.41945855073641,95
20,15.196342595965598,29.80729645373775,26.25854652729518,28.737814423001478,56.06584298103293,50
21,13.856381562724174,26.84759708296905,24.279034257448213,35.01698709685856,51.12663134041726,50
22,8.447219651603973,32.361984800232015,35.22090829769884,23.969887250465163,67.58289309793085,85
23,7.296323844657909,31.89768050060154,36.66800047894062,24.13799517579993,68.56568097954215,85
24,4.319010095582631,31.77850578231483,37.81386329362633,26.088620828476206,69.59236907594116,85
26,7.929689105420179,29.709742366840032,35.93419356416824,26.426374963571558,65.64393593100827,80
27,9.259719885119635,31.70333052297234,35.67362146363881,23.36332812826922,67.37695198661115,85
28,6.930436910139437,34.44029900629745,37.78978418015453,20.83947990340858,72.23008318645198,85
29,8.566657075010834,33.12026634562933,35.053134591655834,23.259941987704,68.17340093728517,85
30,10.42243596299991,30.496404822051726,33.40568524237057,25.67547397257779,63.902090064422296,70
